,0
150,"unexpected key ""branches"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
151,"unexpected key ""branches"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
152,"unexpected key ""jobs"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
153,"unexpected key ""runs-on"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
154,"key ""on"" is duplicated in workflow. previously defined at line:3,col:1. note that key names are case insensitive"
155,"unexpected key ""deploy"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
156,"unexpected key ""middlewares"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
157,"unexpected key ""storage"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
158,"unexpected key ""server"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
159,"unexpected key ""packages"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
160,"unexpected key ""logs"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
161,"unexpected key ""auth"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
162,"unexpected key ""plugins"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
163,"unexpected key ""uplinks"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
164,"unexpected key ""web"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
165,"unexpected key ""max_body_size"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
166,workflow is sequence node but mapping node is expected
167,"unexpected key ""reviewers"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
168,"unexpected key ""skipKeywords"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
169,"unexpected key ""addReviewers"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
170,"unexpected key ""numberOfReviewers"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
171,"unexpected key ""addAssignees"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
172,"""steps"" section is missing in job ""tests"""
173,"unexpected key ""steps"" for ""services"" section. expected one of ""credentials"", ""env"", ""image"", ""options"", ""ports"", ""volumes"""
174,"unexpected key ""true"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
175,"""with"" section is sequence node but mapping node is expected"
176,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:42,col:9. note that key names are case insensitive"
177,"key ""name"" is duplicated in element of ""steps"" section. previously defined at line:41,col:9. note that key names are case insensitive"
178,"unexpected key ""deployment"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
179,"unexpected key ""runs"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
